ip.src,ip.dst,tcp.srcport
192.168.10.9,192.168.10.3,1048
192.168.10.9,192.168.10.3,1048
192.168.10.9,192.168.10.3,1049
192.168.10.9,192.168.10.3,1049
192.168.10.9,192.168.10.3,1050
192.168.10.9,192.168.10.3,1050
192.168.10.9,192.168.10.3,1051
192.168.10.9,192.168.10.3,1051
192.168.10.9,192.168.10.3,1052
192.168.10.9,192.168.10.3,1052
192.168.10.9,192.168.10.3,1053
192.168.10.9,192.168.10.3,1053
192.168.10.9,192.168.10.3,1054
192.168.10.9,192.168.10.3,1054
192.168.10.9,192.168.10.3,1055
192.168.10.9,192.168.10.3,1055
192.168.10.9,192.168.10.3,1056
192.168.10.9,192.168.10.3,1056
192.168.10.9,63.238.216.16,1057
192.168.10.9,192.168.10.3,1058
192.168.10.9,192.168.10.3,1058
192.168.10.9,192.168.10.3,1059
192.168.10.9,192.168.10.3,1059
192.168.10.9,192.168.10.3,1060
192.168.10.9,192.168.10.3,1060
192.168.10.19,192.168.10.3,41613
192.168.10.19,192.168.10.3,41613
192.168.10.15,131.253.61.82,49453
192.168.10.15,23.60.139.27,49454
192.168.10.8,192.168.10.3,49182
192.168.10.8,192.168.10.3,49182
192.168.10.8,192.168.10.3,49183
192.168.10.8,192.168.10.3,49183
192.168.10.14,54.201.188.11,59160
192.168.10.14,54.201.188.11,59161
192.168.10.14,54.201.188.11,59162
192.168.10.50,192.168.10.3,33924
192.168.10.50,192.168.10.3,33924
192.168.10.50,192.168.10.3,32918
192.168.10.50,192.168.10.3,32918
192.168.10.50,192.168.10.3,59722
192.168.10.50,192.168.10.3,59722
192.168.10.50,192.168.10.3,33930
192.168.10.50,192.168.10.3,33930
192.168.10.50,192.168.10.3,59726
192.168.10.50,192.168.10.3,59726
192.168.10.14,13.82.187.188,59163
192.168.10.15,40.124.14.212,49455
192.168.10.19,192.168.10.3,41614
192.168.10.19,192.168.10.3,41614
192.168.10.9,192.168.10.50,1062
192.168.10.9,192.168.10.50,1062
192.168.10.19,192.168.10.3,41615
192.168.10.19,192.168.10.3,41615
192.168.10.9,192.168.10.50,1063
192.168.10.9,192.168.10.50,1063
192.168.10.15,23.63.226.146,49456
192.168.10.9,192.168.10.50,1061
192.168.10.9,192.168.10.50,1061
192.168.10.19,74.125.29.109,58049
192.168.10.9,204.237.173.153,1066
192.168.10.9,72.21.92.229,1067
192.168.10.9,192.168.10.50,1068
192.168.10.9,192.168.10.50,1068
192.168.10.9,52.10.50.117,1069
192.168.10.9,35.164.51.247,1070
192.168.10.9,104.19.195.102,1071
192.168.10.9,35.164.51.247,1072
192.168.10.9,52.10.50.117,1073
192.168.10.9,50.97.40.233,1074
192.168.10.9,52.84.26.67,1075
192.168.10.9,50.97.40.233,1076
192.168.10.9,72.21.91.29,1077
192.168.10.9,72.21.91.29,1078
192.168.10.9,72.21.91.29,1079
192.168.10.9,72.21.91.29,1080
192.168.10.9,50.63.243.230,1081
192.168.10.9,172.217.11.40,1082
192.168.10.9,172.217.10.14,1083
192.168.10.9,172.217.11.40,1084
192.168.10.9,52.84.26.24,1085
192.168.10.9,172.217.11.46,1086
192.168.10.9,172.217.11.46,1087
192.168.10.9,52.84.26.24,1088
192.168.10.9,172.217.10.14,1089
192.168.10.9,172.217.10.14,1090
192.168.10.9,172.217.10.14,1091
192.168.10.9,172.217.10.14,1092
192.168.10.9,172.217.10.142,1093
192.168.10.9,151.101.130.2,1094
192.168.10.9,104.244.43.48,1095
192.168.10.9,104.244.43.48,1096
192.168.10.9,151.101.0.68,1097
192.168.10.9,151.101.0.68,1098
192.168.10.9,204.79.197.200,1099
192.168.10.9,204.79.197.200,1100
192.168.10.9,69.147.64.33,1101
192.168.10.9,172.217.9.226,1102
192.168.10.9,172.217.9.226,1103
192.168.10.9,151.101.194.2,1104
192.168.10.9,23.194.182.14,1105
192.168.10.9,23.194.182.14,1106
192.168.10.9,173.194.208.156,1107
192.168.10.9,199.59.148.12,1108
192.168.10.9,173.194.208.156,1109
192.168.10.9,199.59.148.12,1110
192.168.10.9,72.21.91.29,1111
192.168.10.9,72.21.91.29,1112
192.168.10.9,69.147.82.61,1113
192.168.10.9,172.217.12.174,1114
192.168.10.9,172.217.12.174,1115
192.168.10.9,54.69.227.52,1116
192.168.10.9,172.217.10.14,1117
192.168.10.9,172.217.10.14,1118
192.168.10.9,173.194.208.156,1119
192.168.10.9,173.194.208.156,1120
192.168.10.9,172.217.12.130,1121
192.168.10.9,172.217.12.130,1122
192.168.10.9,98.139.225.35,1123
192.168.10.9,98.139.225.35,1124
192.168.10.9,216.58.219.228,1125
192.168.10.9,216.58.219.228,1126
192.168.10.9,72.21.91.29,1127
192.168.10.9,216.58.219.228,1128
192.168.10.9,216.58.219.228,1129
192.168.10.19,220.243.235.201,38752
192.168.10.19,72.21.91.29,42902
192.168.10.9,52.84.26.24,1130
192.168.10.9,172.217.3.99,1131
192.168.10.9,172.217.3.99,1132
192.168.10.9,172.217.3.99,1133
192.168.10.9,172.217.3.99,1134
192.168.10.9,172.217.3.99,1135
192.168.10.9,172.217.3.99,1136
192.168.10.9,172.217.10.14,1137
192.168.10.9,172.217.10.14,1138
192.168.10.9,172.217.10.14,1139
192.168.10.9,199.59.150.10,1140
192.168.10.9,157.240.2.25,1141
192.168.10.9,199.59.150.10,1142
192.168.10.9,54.245.251.207,1143
192.168.10.9,54.245.251.207,1144
192.168.10.9,52.84.32.122,1145
192.168.10.9,52.84.32.122,1146
192.168.10.9,157.240.18.35,1147
192.168.10.9,157.240.18.35,1148
192.168.10.9,157.240.18.35,1149
192.168.10.9,157.240.18.35,1150
192.168.10.9,157.240.18.35,1151
192.168.10.9,157.240.18.35,1152
192.168.10.9,54.235.191.159,1153
192.168.10.9,54.235.191.159,1154
192.168.10.9,34.196.244.43,1155
192.168.10.9,34.196.244.43,1156
192.168.10.9,54.227.242.33,1157
192.168.10.9,50.63.243.230,1158
192.168.10.9,50.63.243.230,1159
192.168.10.9,50.63.243.230,1160
192.168.10.9,50.63.243.230,1161
192.168.10.15,157.55.240.89,49457
192.168.10.9,68.67.178.173,1162
192.168.10.9,144.2.1.1,1163
192.168.10.9,144.2.1.1,1164
192.168.10.15,131.253.61.82,49458
192.168.10.9,172.217.10.42,1165
192.168.10.9,172.217.10.42,1166
192.168.10.9,172.217.10.67,1167
192.168.10.9,172.217.10.67,1168
192.168.10.9,172.217.9.226,1169
192.168.10.9,172.217.9.226,1170
192.168.10.9,50.16.205.164,1171
192.168.10.9,50.16.205.164,1172
192.168.10.9,50.16.205.164,1173
192.168.10.9,50.16.205.164,1174
192.168.10.15,64.4.54.36,49459
192.168.10.15,65.52.98.233,49460
192.168.10.9,52.35.5.132,1175
192.168.10.9,72.21.91.29,1176
192.168.10.5,23.103.189.158,49194
192.168.10.5,23.15.4.24,49195
192.168.10.5,192.168.10.3,49196
192.168.10.5,192.168.10.3,49196
192.168.10.5,192.168.10.3,49197
192.168.10.5,192.168.10.3,49197
192.168.10.5,192.168.10.3,49198
192.168.10.5,192.168.10.3,49198
192.168.10.5,192.168.10.3,49199
192.168.10.5,192.168.10.3,49199
192.168.10.5,192.168.10.3,49200
192.168.10.5,192.168.10.3,49200
192.168.10.5,192.168.10.3,49201
192.168.10.5,192.168.10.3,49201
192.168.10.5,192.168.10.3,49202
192.168.10.5,192.168.10.3,49202
192.168.10.5,192.168.10.3,49203
192.168.10.5,192.168.10.3,49203
192.168.10.5,192.168.10.3,49204
192.168.10.5,192.168.10.3,49204
192.168.10.5,192.168.10.3,49205
192.168.10.5,192.168.10.3,49205
192.168.10.5,192.168.10.3,49206
192.168.10.5,192.168.10.3,49206
192.168.10.5,192.168.10.3,49207
192.168.10.5,192.168.10.3,49207
192.168.10.5,192.168.10.3,49208
192.168.10.5,192.168.10.3,49208
192.168.10.5,192.168.10.3,49209
192.168.10.5,192.168.10.3,49209
192.168.10.5,23.199.170.73,49210
192.168.10.5,23.221.100.191,49211
192.168.10.5,23.52.146.130,49212
192.168.10.5,23.207.47.221,49213
192.168.10.5,23.15.4.19,49214
192.168.10.5,23.103.189.158,49215
192.168.10.5,23.194.181.149,49216
192.168.10.9,52.11.31.31,1177
192.168.10.9,52.11.31.31,1178
192.168.10.9,52.11.31.31,1179
192.168.10.9,52.11.31.31,1180
192.168.10.9,52.11.31.31,1181
192.168.10.9,52.11.31.31,1182
192.168.10.9,72.21.91.29,1183
192.168.10.5,23.194.182.93,49217
192.168.10.5,40.112.210.171,49218
192.168.10.5,65.55.252.202,49219
192.168.10.5,65.55.252.202,49220
192.168.10.5,65.55.252.202,49221
192.168.10.5,65.55.252.202,49222
192.168.10.5,23.194.182.93,49223
192.168.10.5,184.84.243.207,49224
192.168.10.5,23.194.182.93,49225
192.168.10.5,23.194.182.93,49226
192.168.10.9,52.24.139.120,1184
192.168.10.9,204.93.43.11,1185
192.168.10.9,172.217.3.110,1186
192.168.10.9,206.126.112.141,1187
192.168.10.17,192.168.10.3,36927
192.168.10.17,192.168.10.3,36927
192.168.10.17,192.168.10.3,36928
192.168.10.17,192.168.10.3,36928
192.168.10.17,192.168.10.3,37608
192.168.10.17,192.168.10.3,37608
192.168.10.17,192.168.10.3,36930
192.168.10.17,192.168.10.3,36930
192.168.10.17,192.168.10.3,37610
192.168.10.17,192.168.10.3,37610
192.168.10.17,192.168.10.3,36936
192.168.10.17,192.168.10.3,36936
192.168.10.17,192.168.10.3,48855
192.168.10.17,192.168.10.3,48855
192.168.10.17,192.168.10.3,37617
192.168.10.17,192.168.10.3,37617
192.168.10.17,192.168.10.3,37624
192.168.10.17,192.168.10.3,37624
192.168.10.5,192.168.10.50,49227
192.168.10.5,192.168.10.50,49227
192.168.10.5,192.168.10.50,49228
192.168.10.5,192.168.10.50,49228
192.168.10.5,192.168.10.50,49231
192.168.10.5,192.168.10.50,49231
192.168.10.5,74.125.29.108,49234
192.168.10.25,192.168.10.3,49152
192.168.10.25,192.168.10.3,49152
192.168.10.25,192.168.10.3,49153
192.168.10.25,192.168.10.3,49153
192.168.10.5,184.84.243.199,49235
192.168.10.5,52.193.195.104,49236
192.168.10.5,52.36.90.35,49237
192.168.10.5,52.38.199.186,49238
192.168.10.5,52.193.195.104,49239
192.168.10.5,52.36.90.35,49240
192.168.10.5,72.21.91.29,49241
192.168.10.5,178.255.83.1,49242
192.168.10.5,52.84.26.132,49243
192.168.10.5,52.84.26.132,49244
192.168.10.5,192.168.10.50,49245
192.168.10.5,192.168.10.50,49245
192.168.10.5,172.217.11.46,49246
192.168.10.5,172.217.10.14,49247
192.168.10.5,172.217.11.40,49248
192.168.10.5,172.217.11.40,49249
192.168.10.5,172.217.3.106,49250
192.168.10.5,172.217.3.106,49251
192.168.10.5,172.217.10.14,49252
192.168.10.5,172.217.10.14,49253
192.168.10.5,172.217.10.14,49254
192.168.10.5,172.217.10.14,49255
192.168.10.5,172.217.10.14,49256
192.168.10.5,172.217.10.14,49257
192.168.10.5,23.194.181.198,49258
192.168.10.5,23.194.181.198,49259
192.168.10.5,23.60.139.27,49260
192.168.10.5,23.60.139.27,49261
192.168.10.5,23.60.139.27,49262
192.168.10.5,23.60.139.27,49263
192.168.10.5,172.217.12.142,49264
192.168.10.5,172.217.12.142,49265
192.168.10.5,172.217.10.142,49266
192.168.10.5,23.194.181.198,49267
192.168.10.5,23.194.181.198,49268
192.168.10.5,23.194.181.198,49269
192.168.10.5,172.217.10.14,49270
192.168.10.5,23.194.181.198,49271
192.168.10.5,23.194.181.198,49272
192.168.10.5,172.217.10.14,49273
192.168.10.5,173.194.208.157,49274
192.168.10.5,23.194.181.198,49275
192.168.10.5,23.194.181.198,49276
192.168.10.5,34.225.252.57,49277
192.168.10.5,34.225.252.57,49278
192.168.10.5,72.21.91.29,49279
192.168.10.25,192.168.10.3,49154
192.168.10.25,192.168.10.3,49154
192.168.10.25,192.168.10.3,49155
192.168.10.25,192.168.10.3,49155
192.168.10.5,151.101.0.207,49280
192.168.10.5,151.101.0.207,49281
192.168.10.25,192.168.10.3,49156
192.168.10.25,192.168.10.3,49156
192.168.10.25,192.168.10.3,49157
192.168.10.25,192.168.10.3,49157
192.168.10.5,162.247.242.18,49282
192.168.10.5,23.60.139.27,49283
192.168.10.5,52.36.207.192,49284
192.168.10.5,52.84.26.175,49285
192.168.10.25,192.168.10.3,49158
192.168.10.25,192.168.10.3,49158
192.168.10.25,192.168.10.3,49159
192.168.10.25,192.168.10.3,49159
192.168.10.17,192.168.10.3,37655
192.168.10.17,192.168.10.3,37655
192.168.10.5,54.200.60.113,49286
192.168.10.5,72.21.91.29,49287
192.168.10.5,35.163.114.185,49288
192.168.10.5,34.200.64.30,49289
192.168.10.5,23.15.4.18,49290
192.168.10.5,72.21.91.29,49291
192.168.10.15,157.55.240.89,49461
192.168.10.17,192.168.10.3,37656
192.168.10.17,192.168.10.3,37656
192.168.10.9,192.168.10.3,1188
192.168.10.9,192.168.10.3,1188
192.168.10.9,192.168.10.3,1189
192.168.10.9,192.168.10.3,1189
192.168.10.15,23.194.182.93,49462
192.168.10.15,104.88.107.204,49463
192.168.10.15,64.4.54.254,49464
192.168.10.25,192.168.10.3,49160
192.168.10.25,192.168.10.3,49160
192.168.10.25,192.168.10.3,49161
192.168.10.25,192.168.10.3,49161
192.168.10.17,192.168.10.50,38831
192.168.10.17,192.168.10.50,38831
192.168.10.17,192.168.10.50,42688
192.168.10.17,192.168.10.50,42688
192.168.10.15,134.170.51.247,49465
192.168.10.17,192.168.10.50,42548
192.168.10.17,192.168.10.50,42548
192.168.10.17,74.125.29.109,44490
192.168.10.8,192.168.10.3,49184
192.168.10.8,192.168.10.3,49184
192.168.10.8,192.168.10.3,49185
192.168.10.8,192.168.10.3,49185
192.168.10.8,192.168.10.3,49186
192.168.10.8,192.168.10.3,49186
192.168.10.8,192.168.10.3,49187
192.168.10.8,192.168.10.3,49187
192.168.10.8,192.168.10.3,49188
192.168.10.8,192.168.10.3,49188
192.168.10.8,192.168.10.3,49189
192.168.10.8,192.168.10.3,49189
192.168.10.8,192.168.10.3,49190
192.168.10.8,192.168.10.3,49190
192.168.10.8,192.168.10.3,49191
192.168.10.8,192.168.10.3,49191
192.168.10.17,192.168.10.50,42550
192.168.10.17,192.168.10.50,42550
192.168.10.8,192.168.10.3,49192
192.168.10.8,192.168.10.3,49192
192.168.10.8,192.168.10.3,49193
192.168.10.8,192.168.10.3,49193
192.168.10.8,192.168.10.3,49194
192.168.10.8,192.168.10.3,49194
192.168.10.8,192.168.10.3,49195
192.168.10.8,192.168.10.3,49195
192.168.10.8,192.168.10.3,49196
192.168.10.8,192.168.10.3,49196
192.168.10.8,192.168.10.3,49197
192.168.10.8,192.168.10.3,49197
192.168.10.17,162.159.210.8,46132
192.168.10.25,192.168.10.50,49162
192.168.10.25,192.168.10.50,49162
192.168.10.5,54.201.188.11,49292
192.168.10.5,54.201.188.11,49293
192.168.10.5,54.201.188.11,49294
192.168.10.5,54.201.188.11,49295
192.168.10.5,54.201.188.11,49296
192.168.10.5,72.21.91.29,49297
192.168.10.5,72.21.91.29,49298
192.168.10.5,72.21.91.29,49299
192.168.10.9,54.70.245.228,1190
192.168.10.9,52.25.103.117,1191
192.168.10.9,52.25.103.117,1192
192.168.10.9,52.25.103.117,1193
192.168.10.9,52.25.103.117,1194
192.168.10.9,52.25.103.117,1195
192.168.10.9,52.25.103.117,1196
192.168.10.9,72.21.91.29,1197
192.168.10.9,72.21.91.29,1198
192.168.10.9,72.21.91.29,1199
192.168.10.9,72.21.91.29,1200
192.168.10.9,52.43.235.20,1201
192.168.10.9,52.84.34.144,1202
192.168.10.9,52.84.34.144,1203
192.168.10.9,52.84.34.144,1204
192.168.10.9,52.84.34.144,1205
192.168.10.9,52.84.30.37,1206
192.168.10.9,52.84.30.37,1207
192.168.10.9,52.84.30.37,1208
192.168.10.9,52.84.30.37,1209
192.168.10.9,52.25.103.117,1210
192.168.10.15,65.55.138.112,49466
192.168.10.8,192.168.10.50,49200
192.168.10.8,192.168.10.50,49200
192.168.10.8,192.168.10.50,49201
192.168.10.8,192.168.10.50,49201
192.168.10.15,65.55.138.112,49467
192.168.10.15,207.109.221.233,49468
192.168.10.15,23.50.75.27,49469
192.168.10.8,192.168.10.50,49202
192.168.10.8,192.168.10.50,49202
192.168.10.8,52.38.199.186,49203
192.168.10.15,104.97.95.20,49470
192.168.10.15,64.4.54.98,49471
192.168.10.15,23.199.172.161,49472
192.168.10.8,72.21.91.29,49204
192.168.10.8,74.125.29.108,49205
192.168.10.8,184.50.238.241,49206
192.168.10.15,65.55.138.112,49473
192.168.10.8,52.11.17.245,49207
192.168.10.8,52.11.17.245,49208
192.168.10.8,72.21.91.29,49211
192.168.10.15,13.107.4.50,49474
192.168.10.8,153.254.170.142,49212
192.168.10.17,172.217.11.46,33190
192.168.10.8,192.168.10.50,49213
192.168.10.8,192.168.10.50,49213
192.168.10.17,172.217.10.14,49010
192.168.10.17,172.217.12.142,39333
192.168.10.8,52.84.26.24,49214
192.168.10.8,153.254.170.142,49215
192.168.10.8,153.254.170.142,49216
192.168.10.8,172.217.11.46,49217
192.168.10.8,172.217.10.14,49218
192.168.10.8,172.217.12.142,49219
192.168.10.8,153.254.170.142,49212
192.168.10.8,153.254.170.142,49215
192.168.10.8,153.254.170.142,49216
192.168.10.8,52.39.237.157,49220
192.168.10.17,104.27.82.74,46365
192.168.10.8,50.112.201.212,49221
192.168.10.8,52.84.26.59,49222
192.168.10.8,52.84.26.59,49223
192.168.10.8,153.254.170.142,49212
192.168.10.5,13.82.187.188,49300
192.168.10.8,153.254.170.142,49215
192.168.10.8,153.254.170.142,49216
